Lat,Lng,County,CNTY_NBR,FIPS,Shape_Leng,Shape_Area,County Location
-97.49279927,29.45641495,Gonzales,90,48177,2.124910622,0.257804828,"(-97.492799, 29.456415)"
-98.6972921,27.04340499,Jim Hogg,125,48247,2.271751304,0.267624126,"(-98.697292, 27.043405)"
-97.68137783,26.92409448,Kenedy,66,48261,5.067864307,0.389397352,"(-97.681378, 26.924094)"
-96.96568735,30.31065065,Lee,144,48287,2.213853346,0.15399046,"(-96.965687, 30.310651)"
-95.85356847,32.21188078,Henderson,108,48213,3.152908752,0.235056213,"(-95.853568, 32.211881)"
-94.14495261,31.79242191,Shelby,210,48419,2.67878976,0.205815769,"(-94.144953, 31.792422)"
-99.45362579,31.77329421,Coleman,42,48083,2.675641055,0.316062015,"(-99.453626, 31.773294)"
-96.40356575,30.2145299,Washington,239,48477,2.547105613,0.150743535,"(-96.403566, 30.21453)"
-99.760574,28.42161168,Dimmit,64,48127,2.324663844,0.314454367,"(-99.760574, 28.421612)"
-99.73029401,33.17824805,Haskell,105,48207,1.91739054,0.227925166,"(-99.730294, 33.178248)"
-99.21236832,33.17753907,Throckmorton,224,48447,1.92184449,0.229200301,"(-99.212368, 33.177539)"
-99.7453851,34.28865227,Hardeman,100,48197,1.904729035,0.17664409,"(-99.745385, 34.288652)"
-102.3517095,34.06861242,Lamb,140,48279,2.03117493,0.257464651,"(-102.351709, 34.068612)"
-98.55841538,31.9490639,Comanche,47,48093,2.095434312,0.235313921,"(-98.558415, 31.949064)"
-102.335157,33.17373729,Terry,223,48445,1.896687331,0.222977795,"(-102.335157, 33.173737)"
-93.85170439,31.34321941,Sabine,202,48403,2.033399379,0.141502516,"(-93.851704, 31.343219)"
-102.6021647,36.27777107,Dallam,56,48111,2.647748843,0.391034911,"(-102.602165, 36.277771)"
-103.693143,31.32307061,Reeves,195,48389,4.574018208,0.648796011,"(-103.693143, 31.323071)"
-102.6378839,32.30506283,Andrews,2,48003,2.579602167,0.372269477,"(-102.637884, 32.305063)"
-94.76169577,32.10803224,Rusk,201,48401,2.447868376,0.23243584,"(-94.761696, 32.108032)"
-101.3547257,35.84000866,Hutchinson,118,48233,1.93562571,0.231227108,"(-101.354726, 35.840009)"
-96.93020993,29.38437003,Lavaca,143,48285,1.928384427,0.233736863,"(-96.93021, 29.38437)"
-103.2518906,29.81205836,Brewster,22,48043,6.004896343,1.497093043,"(-103.251891, 29.812058)"
-96.79467417,32.34839264,Ellis,71,48139,2.245024488,0.236142131,"(-96.794674, 32.348393)"
-97.42646082,28.65708563,Goliad,89,48175,2.171168793,0.205451115,"(-97.426461, 28.657086)"
-99.82061472,30.88981785,Menard,164,48327,2.017755354,0.220448427,"(-99.820615, 30.889818)"
-100.3048937,29.98248216,Edwards,70,48137,3.37029966,0.513424083,"(-100.304894, 29.982482)"
-94.37651432,30.7712607,Tyler,229,48457,2.673865732,0.228323625,"(-94.376514, 30.771261)"
-94.96509786,33.2160906,Titus,225,48449,2.00308064,0.106914371,"(-94.965098, 33.216091)"
-96.28779341,32.59927808,Kaufman,130,48257,2.002230724,0.200935223,"(-96.287793, 32.599278)"
-96.51272568,31.02705415,Robertson,198,48395,2.503122646,0.211742258,"(-96.512726, 31.027054)"
-98.56842256,28.35351091,McMullen,162,48311,2.118908742,0.277594527,"(-98.568423, 28.353511)"
-102.6351246,32.74074537,Gaines,84,48165,2.590419039,0.374514715,"(-102.635125, 32.740745)"
-100.2558584,33.61641863,King,135,48269,1.928296567,0.229952945,"(-100.255858, 33.616419)"
-95.45578479,29.19345387,Brazoria,20,48039,8.449998572,0.342869742,"(-95.455785, 29.193454)"
-99.37359692,32.2977738,Callahan,30,48059,1.897523701,0.223364373,"(-99.373597, 32.297774)"
-95.57224172,30.73899492,Walker,236,48471,2.152040802,0.195448316,"(-95.572242, 30.738995)"
-96.57883268,28.95603133,Jackson,121,48239,2.989531452,0.203834941,"(-96.578833, 28.956031)"
-103.5799063,31.84912973,Loving,151,48301,2.144683446,0.166916127,"(-103.579906, 31.84913)"
-101.5230108,31.36617698,Reagan,192,48383,2.153535174,0.288722753,"(-101.523011, 31.366177)"
-96.67764864,33.62684371,Grayson,92,48181,2.365599697,0.246442393,"(-96.677649, 33.626844)"
-95.67221685,33.38623601,Delta,60,48119,2.321141746,0.06975473,"(-95.672217, 33.386236)"
-97.47790776,31.03778267,Bell,14,48027,2.178761589,0.265926568,"(-97.477908, 31.037783)"
-98.18252382,30.78843382,Burnet,27,48053,2.494223061,0.249033659,"(-98.182524, 30.788434)"
-94.34348771,33.07750446,Cass,34,48067,2.729630317,0.240082449,"(-94.343488, 33.077504)"
-97.61767326,27.72621549,Nueces,178,48355,9.814653083,0.203472348,"(-97.617673, 27.726215)"
-97.64303323,26.47132899,Willacy,245,48489,3.324169395,0.155451086,"(-97.643033, 26.471329)"
-98.70153389,33.98421585,Wichita,243,48485,1.833176967,0.156295134,"(-98.701534, 33.984216)"
-101.3033037,34.07239775,Floyd,78,48153,2.006894199,0.251107266,"(-101.303304, 34.072398)"
-97.72889778,27.43274395,Kleberg,137,48273,4.444938992,0.213851073,"(-97.728898, 27.432744)"
-100.27317,36.27778432,Lipscomb,148,48295,1.979805548,0.242396091,"(-100.27317, 36.277784)"
-97.1324142,31.99079033,Hill,110,48217,2.57039298,0.24370225,"(-97.132414, 31.99079)"
-102.0315032,31.86921148,Midland,165,48329,1.893898494,0.222664882,"(-102.031503, 31.869211)"
-97.20184883,31.55234489,McLennan,161,48309,2.088494087,0.260991644,"(-97.201849, 31.552345)"
-99.21351964,33.61648147,Baylor,12,48023,1.912457508,0.226681232,"(-99.21352, 33.616481)"
-100.255259,33.17842158,Stonewall,217,48433,1.943594992,0.232000971,"(-100.255259, 33.178422)"
-99.34754972,31.19896752,McCulloch,160,48307,2.440158495,0.263267604,"(-99.34755, 31.198968)"
-101.4355097,32.30610232,Howard,115,48227,1.900374847,0.224253983,"(-101.43551, 32.306102)"
-100.9165071,32.74720063,Scurry,208,48415,1.905585978,0.226711706,"(-100.916507, 32.747201)"
-96.14918535,31.70486443,Freestone,82,48161,2.497757674,0.219827235,"(-96.149185, 31.704864)"
-98.0898649,27.73131099,Jim Wells,126,48249,2.427014479,0.205830636,"(-98.089865, 27.731311)"
-101.2998612,33.61459873,Crosby,54,48107,1.913220344,0.22690701,"(-101.299861, 33.614599)"
-96.22197375,29.2778362,Wharton,241,48481,2.467353303,0.263143063,"(-96.221974, 29.277836)"
-100.538097,30.89661056,Schleicher,207,48413,2.450866584,0.321456176,"(-100.538097, 30.896611)"
-101.3572412,34.96522076,Armstrong,6,48011,1.945689566,0.233109934,"(-101.357241, 34.965221)"
-97.78194654,30.33423319,Travis,227,48453,2.458272479,0.248996407,"(-97.781947, 30.334233)"
-102.5430907,31.86908156,Ector,69,48135,1.894771979,0.222982245,"(-102.543091, 31.869082)"
-99.24637282,29.74724753,Bandera,10,48019,2.120842963,0.192677466,"(-99.246373, 29.747248)"
-101.0500699,31.82786516,Sterling,216,48431,1.946807264,0.227750271,"(-101.05007, 31.827865)"
-97.16546961,28.32681413,Refugio,196,48391,3.326709403,0.185681696,"(-97.16547, 28.326814)"
-101.3542037,35.40346802,Carson,33,48065,1.957610985,0.237516554,"(-101.354204, 35.403468)"
-99.10826004,28.86726774,Frio,83,48163,2.113710641,0.271133775,"(-99.10826, 28.867268)"
-94.8120925,30.15153187,Liberty,146,48291,2.401832368,0.284788514,"(-94.812092, 30.151532)"
-96.3022943,30.6610425,Brazos,21,48041,2.811591006,0.143906946,"(-96.302294, 30.661043)"
-99.74892716,30.48676251,Kimble,134,48267,2.472410508,0.304157368,"(-99.748927, 30.486763)"
-97.7991883,31.39087578,Coryell,50,48099,2.05310828,0.259511549,"(-97.799188, 31.390876)"
-96.77781862,32.76653746,Dallas,57,48113,1.90778162,0.226420617,"(-96.777819, 32.766537)"
-98.59552736,31.49524259,Mills,167,48333,2.438547822,0.184389335,"(-98.595527, 31.495243)"
-96.64708119,28.48966896,Calhoun,29,48057,9.289508624,0.129738262,"(-96.647081, 28.489669)"
-97.72466993,33.67496328,Montague,169,48337,2.090266045,0.235632601,"(-97.72467, 33.674963)"
-98.73834895,26.56212627,Starr,214,48427,2.600375286,0.288492302,"(-98.738349, 26.562126)"
-96.97176602,28.79640594,Victoria,235,48469,2.775292675,0.212539676,"(-96.971766, 28.796406)"
-100.812475,35.40130666,Gray,91,48179,1.968332271,0.238979313,"(-100.812475, 35.401307)"
-98.51966309,29.44884523,Bexar,15,48029,2.729791097,0.302845599,"(-98.519663, 29.448845)"
-101.8929556,35.83768863,Moore,171,48341,1.949867354,0.234984076,"(-101.892956, 35.837689)"
-99.86413426,31.32645211,Concho,48,48095,2.16469319,0.243756513,"(-99.864134, 31.326452)"
-102.0764533,30.22502597,Terrell,222,48443,3.843494266,0.572453883,"(-102.076453, 30.225026)"
-98.83612016,32.73584155,Stephens,215,48429,1.922499806,0.229654219,"(-98.83612, 32.735842)"
-95.98768942,30.01093722,Waller,237,48473,2.435199131,0.125424201,"(-95.987689, 30.010937)"
-96.47248134,32.04695429,Navarro,175,48349,2.496053929,0.268572597,"(-96.472481, 32.046954)"
-99.35403034,32.7360276,Shackelford,209,48417,1.915819092,0.228163176,"(-99.35403, 32.736028)"
-94.1708778,29.88425832,Jefferson,124,48245,5.230217632,0.231656113,"(-94.170878, 29.884258)"
-95.21841437,33.17550691,Franklin,81,48159,1.422054395,0.073838514,"(-95.218414, 33.175507)"
-98.94627245,30.31800246,Gillespie,87,48171,2.150997368,0.257843883,"(-98.946272, 30.318002)"
-97.21247642,33.638465,Cooke,49,48097,2.832732183,0.225401457,"(-97.212476, 33.638465)"
-103.1024636,31.509424,Ward,238,48475,2.939565254,0.205498549,"(-103.102464, 31.509424)"
-99.89003941,32.30138229,Taylor,221,48441,1.920012399,0.227958667,"(-99.890039, 32.301382)"
-98.68387398,30.70566579,Llano,150,48299,2.32327609,0.235689182,"(-98.683874, 30.705666)"
-96.08550014,33.123531,Hunt,117,48231,2.045719894,0.220775693,"(-96.0855, 33.123531)"
-100.4060989,32.3034718,Nolan,177,48353,1.910603822,0.226700617,"(-100.406099, 32.303472)"
-100.7798961,34.07409017,Motley,173,48345,2.0037168,0.250394064,"(-100.779896, 34.07409)"
-98.208958,33.78379717,Clay,39,48077,2.382094906,0.279980045,"(-98.208958, 33.783797)"
-97.36660504,32.37899918,Johnson,127,48251,1.828065697,0.18214922,"(-97.366605, 32.378999)"
-101.8160235,33.17685487,Lynn,153,48305,1.900233625,0.223592766,"(-101.816023, 33.176855)"
-101.15171,29.89300587,Val Verde,233,48465,4.417380788,0.781933535,"(-101.15171, 29.893006)"
-101.8205745,33.6101944,Lubbock,152,48303,1.912739,0.226605557,"(-101.820574, 33.610194)"
-100.2700733,34.96498493,Collingsworth,44,48087,1.94963166,0.234984086,"(-100.270073, 34.964985)"
-95.99554292,31.29655719,Leon,145,48289,2.92344693,0.265163044,"(-95.995543, 31.296557)"
-97.35666976,29.08201599,Dewitt,62,48123,2.065558037,0.218449329,"(-97.35667, 29.082016)"
-100.8140501,34.96540246,Donley,65,48129,1.966381841,0.238522128,"(-100.81405, 34.965402)"
-94.94132011,32.7362827,Upshur,230,48459,1.799822872,0.147655454,"(-94.94132, 32.736283)"
-94.39021394,30.33238431,Hardin,101,48199,2.706128257,0.21806037,"(-94.390214, 30.332384)"
-102.5156425,31.42846287,Crane,52,48103,2.397673949,0.192992554,"(-102.515642, 31.428463)"
-95.50301411,30.30022409,Montgomery,170,48339,2.689243253,0.261548074,"(-95.503014, 30.300224)"
-100.2704628,35.83750155,Hemphill,107,48211,1.952454268,0.235628886,"(-100.270463, 35.837502)"
-101.520742,31.8694238,Glasscock,88,48173,1.892444371,0.222376542,"(-101.520742, 31.869424)"
-98.21722756,32.23640361,Erath,73,48143,2.114377539,0.269412231,"(-98.217228, 32.236404)"
-99.76102001,28.86530621,Zavala,254,48507,2.300184353,0.311031225,"(-99.76102, 28.865306)"
-100.5298747,31.88849293,Coke,41,48081,1.957649096,0.22908758,"(-100.529875, 31.888493)"
-93.74462993,30.78619977,Newton,176,48351,3.669101627,0.229430421,"(-93.74463, 30.7862)"
-97.94850308,29.58257236,Guadalupe,95,48187,2.388210502,0.172719353,"(-97.948503, 29.582572)"
-94.35725239,32.79797929,Marion,155,48315,2.03368551,0.104798923,"(-94.357252, 32.797979)"
-101.8968527,34.96594288,Randall,191,48381,1.957364828,0.235811469,"(-101.896853, 34.965943)"
-102.8278792,33.17293501,Yoakum,251,48501,1.791577313,0.200359767,"(-102.827879, 33.172935)"
-96.93579511,31.25317017,Falls,74,48145,1.797852312,0.189767948,"(-96.935795, 31.25317)"
-99.77871109,33.97408519,Foard,79,48155,2.302711251,0.177999074,"(-99.778711, 33.974085)"
-102.6048162,34.96602014,Deaf Smith,59,48117,2.622245621,0.38287479,"(-102.604816, 34.96602)"
-96.97683495,30.78625299,Milam,166,48331,2.302703729,0.249329869,"(-96.976835, 30.786253)"
-100.2697634,35.40129002,Wheeler,242,48483,1.951251644,0.235165817,"(-100.269763, 35.40129)"
-95.38206498,32.78634374,Wood,250,48499,2.181601134,0.173379789,"(-95.382065, 32.786344)"
-98.27814516,29.80816362,Comal,46,48091,1.949036658,0.139000572,"(-98.278145, 29.808164)"
-99.2263026,30.71742293,Mason,157,48319,1.92661454,0.227714795,"(-99.226303, 30.717423)"
-96.62109399,30.49246139,Burleson,26,48051,2.483673931,0.164949546,"(-96.621094, 30.492461)"
-95.16683273,30.57948905,San Jacinto,204,48407,2.203357163,0.153019057,"(-95.166833, 30.579489)"
-96.27791829,29.88711223,Austin,8,48015,2.481689338,0.158727256,"(-96.277918, 29.887112)"
-98.18088681,26.396627,Hidalgo,109,48215,3.310209778,0.370852201,"(-98.180887, 26.396627)"
-94.30552858,32.16222886,Panola,183,48365,2.0573828,0.203268291,"(-94.305529, 32.162229)"
-98.12474493,28.3514375,Live Oak,149,48297,2.313603449,0.257196033,"(-98.124745, 28.351438)"
-98.24142711,31.19627791,Lampasas,141,48281,1.998939902,0.175008429,"(-98.241427, 31.196278)"
-99.16860134,27.00089072,Zapata,253,48505,2.24698193,0.24921502,"(-99.168601, 27.000891)"
-104.5177421,31.44709817,Culberson,55,48109,4.080850332,0.937432831,"(-104.517742, 31.447098)"
-94.73205137,33.11368507,Morris,172,48343,1.538698151,0.064495483,"(-94.732051, 33.113685)"
-101.2984496,33.17991074,Garza,86,48169,1.898322742,0.224420545,"(-101.29845, 33.179911)"
-101.8269082,34.07051782,Hale,96,48189,2.018357852,0.254141583,"(-101.826908, 34.070518)"
-98.03104087,30.05782657,Hays,106,48209,1.803226471,0.164422953,"(-98.031041, 30.057827)"
-100.4620678,31.4044442,Tom Green,226,48451,3.513531432,0.378383033,"(-100.462068, 31.404444)"
-98.81754295,31.15520543,San Saba,206,48411,3.113854136,0.278794089,"(-98.817543, 31.155205)"
-95.26909511,32.37514553,Smith,212,48423,2.919216091,0.235718677,"(-95.269095, 32.375146)"
-101.8933822,36.27765824,Sherman,211,48421,1.967991354,0.239757036,"(-101.893382, 36.277658)"
-99.35016969,30.06153035,Kerr,133,48265,2.589998866,0.268287315,"(-99.35017, 30.06153)"
-100.9211128,32.30636024,Mitchell,168,48335,1.914674328,0.227360727,"(-100.921113, 32.30636)"
-97.74116811,28.41736675,Bee,13,48025,2.228981316,0.209983578,"(-97.741168, 28.417367)"
-99.87850599,32.73970429,Jones,128,48253,1.952559971,0.23329206,"(-99.878506, 32.739704)"
-100.3144638,28.74260943,Maverick,159,48323,2.862972203,0.308980941,"(-100.314464, 28.742609)"
-98.99989649,31.77432313,Brown,25,48049,2.082173277,0.236003924,"(-98.999896, 31.774323)"
-102.784594,34.53014507,Parmer,185,48369,1.905044997,0.225119009,"(-102.784594, 34.530145)"
-100.7791031,33.18284492,Kent,132,48263,1.89953853,0.223632298,"(-100.779103, 33.182845)"
-97.51859857,28.00922186,San Patricio,205,48409,3.462105819,0.167653718,"(-97.518599, 28.009222)"
-101.3545624,36.27753179,Hansford,99,48195,1.965538637,0.239189303,"(-101.354562, 36.277532)"
-99.74144313,33.60614755,Knox,138,48275,2.133528675,0.215261898,"(-99.741443, 33.606148)"
-95.79347545,32.87004212,Rains,190,48379,1.336044369,0.064429716,"(-95.793475, 32.870042)"
-96.58056718,31.54541898,Limestone,147,48293,1.942498836,0.229530725,"(-96.580567, 31.545419)"
-95.13551682,31.0885069,Trinity,228,48455,2.235507348,0.174571747,"(-95.135517, 31.088507)"
-97.60105467,30.64834941,Williamson,246,48491,2.482291287,0.276928338,"(-97.601055, 30.648349)"
-102.3430919,33.60750375,Hockley,111,48219,1.922123942,0.228718494,"(-102.343092, 33.607504)"
-102.0430005,31.36853957,Upton,231,48461,2.207151319,0.305162453,"(-102.043, 31.36854)"
-100.7788138,33.61663428,Dickens,63,48125,1.920691475,0.227699784,"(-100.778814, 33.616634)"
-97.85960621,28.90493782,Karnes,129,48255,1.986381859,0.179978182,"(-97.859606, 28.904938)"
-101.9512464,32.30605847,Martin,156,48317,1.912684351,0.227088514,"(-101.951246, 32.306058)"
-103.0484794,31.85008609,Winkler,248,48495,1.928019223,0.207372195,"(-103.048479, 31.850086)"
-98.50889672,27.68133382,Duval,67,48131,2.76954491,0.425467009,"(-98.508897, 27.681334)"
-94.16809762,31.39427005,San Augustine,203,48405,2.593834231,0.145542583,"(-94.168098, 31.39427)"
-98.71160511,29.9446397,Kendall,131,48259,1.606343256,0.160452828,"(-98.711605, 29.94464)"
-97.29116473,32.77185236,Tarrant,220,48439,1.905740162,0.225294171,"(-97.291165, 32.771852)"
-96.99258951,28.12709562,Aransas,4,48007,6.125349667,0.06711832,"(-96.99259, 28.127096)"
-100.4178441,29.35000302,Kinney,136,48271,2.431027941,0.328233005,"(-100.417844, 29.350003)"
-94.6158776,31.61604108,Nacogdoches,174,48347,4.078397345,0.241586771,"(-94.615878, 31.616041)"
-96.52630821,29.6208542,Colorado,45,48089,2.361173893,0.234963166,"(-96.526308, 29.620854)"
-101.4317533,32.7436916,Borden,17,48033,1.908679146,0.22582417,"(-101.431753, 32.743692)"
-99.11008331,29.35520493,Medina,163,48325,2.496999583,0.321765559,"(-99.110083, 29.355205)"
-101.4118364,30.72291931,Crockett,53,48105,5.08101873,0.684742415,"(-101.411836, 30.722919)"
-97.63437613,31.90050476,Bosque,18,48035,2.554113353,0.247533464,"(-97.634376, 31.900505)"
-100.2075664,34.52929257,Childress,38,48075,1.708574094,0.18152779,"(-100.207566, 34.529293)"
-94.60891308,29.73912276,Chambers,36,48071,3.954636694,0.152677647,"(-94.608913, 29.739123)"
-96.40780584,32.89786769,Rockwall,199,48397,0.777033816,0.037090158,"(-96.407806, 32.897868)"
-97.77456553,32.22229511,Somervell,213,48425,0.911909725,0.047473448,"(-97.774566, 32.222295)"
-94.611742,31.25475875,Angelina,3,48005,3.432799188,0.212056914,"(-94.611742, 31.254759)"
-99.82215881,29.83182711,Real,193,48385,1.867441064,0.169204892,"(-99.822159, 29.831827)"
-95.42225367,31.31764137,Houston,114,48225,3.177820872,0.303655156,"(-95.422254, 31.317641)"
-95.77090562,29.52763253,Fort Bend,80,48157,2.517978008,0.213479793,"(-95.770906, 29.527633)"
-104.1403539,30.71559322,Jeff Davis,123,48243,3.438754776,0.552008437,"(-104.140354, 30.715593)"
-99.33170164,27.76102524,Webb,240,48479,4.761420357,0.799981776,"(-99.331702, 27.761025)"
-97.80472194,32.77852261,Parker,184,48367,1.910490395,0.225917327,"(-97.804722, 32.778523)"
-97.83280338,32.43107878,Hood,112,48221,1.398003437,0.109374113,"(-97.832803, 32.431079)"
-98.39974086,30.26636128,Blanco,16,48031,1.683596565,0.173305894,"(-98.399741, 30.266361)"
-98.21874127,27.0315669,Brooks,24,48047,2.056815131,0.222310537,"(-98.218741, 27.031567)"
-101.2085769,34.53041048,Briscoe,23,48045,1.923905198,0.229466022,"(-101.208577, 34.53041)"
-97.65444124,33.21585061,Wise,249,48497,1.93265109,0.231118947,"(-97.654441, 33.215851)"
-95.65251774,31.81321543,Anderson,1,48001,3.70938097,0.265991956,"(-95.652518, 31.813215)"
-95.98533866,28.86711039,Matagorda,158,48321,8.747459315,0.272799518,"(-95.985339, 28.86711)"
-100.8135689,35.8385577,Roberts,197,48393,1.965001856,0.238522476,"(-100.813569, 35.838558)"
-95.92818441,30.96564645,Madison,154,48313,2.012434968,0.115431297,"(-95.928184, 30.965646)"
-96.57248871,33.18789055,Collin,43,48085,1.931216329,0.221921741,"(-96.572489, 33.187891)"
-102.2617608,34.53000304,Castro,35,48069,1.923920787,0.228709346,"(-102.261761, 34.530003)"
-95.98557334,30.54360689,Grimes,94,48185,2.427391028,0.195299055,"(-95.985573, 30.543607)"
-99.1034773,28.34621032,La Salle,142,48283,2.402579048,0.358902539,"(-99.103477, 28.34621)"
-101.8940484,35.40128927,Potter,188,48375,1.958919769,0.236917308,"(-101.894048, 35.401289)"
-95.57110784,33.66746186,Lamar,139,48277,2.716470116,0.235193679,"(-95.571108, 33.667462)"
-94.02495849,30.74391255,Jasper,122,48241,3.772042636,0.236629114,"(-94.024958, 30.743913)"
-95.8364862,32.56368961,Van Zandt,234,48467,2.402843541,0.213776748,"(-95.836486, 32.56369)"
-94.96474975,29.39424415,Galveston,85,48167,9.350247709,0.09632058,"(-94.96475, 29.394244)"
-100.9824126,31.30393203,Irion,119,48235,2.048732909,0.258119251,"(-100.982413, 31.303932)"
-95.0501886,33.62074539,Red River,194,48387,3.528132565,0.266174116,"(-95.050189, 33.620745)"
-100.2786983,34.0776571,Cottle,51,48101,2.021259965,0.22801233,"(-100.278698, 34.077657)"
-100.5382263,30.49747152,Sutton,218,48435,2.530570573,0.352582441,"(-100.538226, 30.497472)"
-97.31187705,30.10353518,Bastrop,11,48021,1.83148179,0.217074712,"(-97.311877, 30.103535)"
-104.2405552,29.99977786,Presidio,189,48377,5.308464465,0.933759578,"(-104.240555, 29.999778)"
-102.7235743,30.78100044,Pecos,186,48371,6.107163024,1.162560526,"(-102.723574, 30.781)"
-106.2352229,31.7686226,El Paso,72,48141,2.435514554,0.250159941,"(-106.235223, 31.768623)"
-93.89653794,30.12807126,Orange,181,48361,1.872029884,0.088532121,"(-93.896538, 30.128071)"
-98.52741302,28.89418432,Atascosa,7,48013,2.273610657,0.291800502,"(-98.527413, 28.894184)"
-99.76203107,29.35669829,Uvalde,232,48463,2.475666015,0.376203913,"(-99.762031, 29.356698)"
-98.68781396,33.17670764,Young,252,48503,1.941650639,0.233021666,"(-98.687814, 33.176708)"
-97.61983479,29.83677935,Caldwell,28,48055,1.870385996,0.132116353,"(-97.619835, 29.836779)"
-98.31299522,32.75316856,Palo Pinto,182,48363,2.014896515,0.245592147,"(-98.312995, 32.753169)"
-95.16515234,31.83695632,Cherokee,37,48073,3.639151502,0.262098402,"(-95.165152, 31.836956)"
-94.42324298,33.44572786,Bowie,19,48037,4.057052845,0.231733439,"(-94.423243, 33.445728)"
-101.9476136,32.74258137,Dawson,58,48115,1.903707265,0.22477727,"(-101.947614, 32.742581)"
-98.11066654,31.70479181,Hamilton,98,48193,1.980430905,0.206040199,"(-98.110667, 31.704792)"
-101.734951,34.53064989,Swisher,219,48437,1.924577033,0.229375572,"(-101.734951, 34.53065)"
-105.3869428,31.45613738,Hudspeth,116,48229,4.987478424,1.12311582,"(-105.386943, 31.456137)"
-102.8285264,33.60410808,Cochran,40,48079,1.768253751,0.19513349,"(-102.828526, 33.604108)"
-102.8299069,34.0684915,Bailey,9,48017,1.836282732,0.209332494,"(-102.829907, 34.068492)"
-99.24089568,34.08044953,Wilbarger,244,48487,2.499326666,0.247248608,"(-99.240896, 34.08045)"
-94.82994949,30.79250963,Polk,187,48373,2.781485004,0.271059145,"(-94.829949, 30.79251)"
-95.39782106,29.85967144,Harris,102,48201,7.731110055,0.42279836,"(-95.397821, 29.859671)"
-94.97860185,32.97321771,Camp,32,48063,1.426383691,0.050799133,"(-94.978602, 32.973218)"
-98.1725509,33.23345819,Jack,120,48237,1.934221464,0.230607004,"(-98.172551, 33.233458)"
-102.6029949,35.40497586,Oldham,180,48359,2.638663818,0.385882971,"(-102.602995, 35.404976)"
-98.8325713,32.32739258,Eastland,68,48133,1.988668355,0.230684082,"(-98.832571, 32.327393)"
-94.81723694,32.48036452,Gregg,93,48183,1.34278303,0.068262175,"(-94.817237, 32.480365)"
-97.51499968,26.13847728,Cameron,31,48061,6.776490677,0.237848399,"(-97.515, 26.138477)"
-96.10656755,33.59396919,Fannin,75,48147,2.266622964,0.226256795,"(-96.106568, 33.593969)"
-96.91968047,29.87683207,Fayette,76,48149,2.039019253,0.232060484,"(-96.91968, 29.876832)"
-95.56414173,33.14933822,Hopkins,113,48223,2.294940916,0.198586657,"(-95.564142, 33.149338)"
-100.815653,36.27846334,Ochiltree,179,48357,1.967321287,0.238826482,"(-100.815653, 36.278463)"
-98.68783437,33.61539176,Archer,5,48009,1.941220218,0.232834442,"(-98.687834, 33.615392)"
-102.6028835,35.83996755,Hartley,104,48205,2.617213445,0.377984981,"(-102.602883, 35.839968)"
-100.6809876,34.53074134,Hall,97,48191,1.927148111,0.229964395,"(-100.680988, 34.530741)"
-94.37155736,32.54814898,Harrison,103,48203,2.563571486,0.227725909,"(-94.371557, 32.548149)"
-99.97624799,31.83105393,Runnels,200,48399,2.040586091,0.260769629,"(-99.976248, 31.831054)"
-97.11681154,33.205574,Denton,61,48121,1.969323966,0.238359434,"(-97.116812, 33.205574)"
-98.08621015,29.17315896,Wilson,247,48493,1.917175929,0.193944043,"(-98.08621, 29.173159)"
-100.4019503,32.74305155,Fisher,77,48151,1.903030402,0.225014335,"(-100.40195, 32.743052)"
